SCU Number,Market Name,Owner,Pole Height - AGL,Type,Primary Power,Secondary Power,Communication Lines,Guy Wires,Sign,Light Arm,Banner,Surveillance Equipment,Power Meter,Traffic Signal,Transformer,Other,Comments,Reviewed By,Time Study (Minutes),Link to as built,,,,
439575,"Chicago, IL",COMED,28,Wood,28,23.58,18.16; 17.58,N/A,8.58 - 6.58,N/A,N/A,N/A,N/A,N/A,N/A,Fiber Distribution Panel - 13.66; AC Load Panel - 11.5,,Evan,26,https://www.ccisites.com/uploads/non_otg_docs/work_task/2900000-2999999/2945156/CH1381BA_439575_Elevation_As_Built.pdf,,,,
439806,"Chicago, IL",COMED,39.25,Wood,39.08,N/A,32.08; 22.58; 21.84,35.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fiber Distribution Panel -13.66; AC Load Panel - 11.5,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/2900000-2999999/2944886/CH2314BA_Elevation_As_Built-Node.pdf,,,,
469320,"Chicago, IL",COMED,33.58,Wood,33.5,X;X;X,25.5; 19.58; X;X;X;X,N/A,X-X,N/A,N/A,N/A,N/A,N/A,N/A,Fiber distribution panel - 11.92; AC Load Panel - 15.5,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3630178/CH2300BA_11LAB_Elevation_NAT_Reviewed_As_Built.pdf,,,,
469413,"Chicago, IL",COMED,38.25,Wood,34.33,24.33,24.08; 19.84,N/A,X-X,N/A,N/A,N/A,N/A,N/A,N/A,Fiber Distribution Panel - 18; AC Load Panel - 16.75,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3630423/CH1424BA_81LAB_Elevation_As_Built.pdf,,,,
469511,"Chicago, IL",COMED,37.33,Wood,33.5,25.92,20.84; 19.92,N/A,X-X,N/A,N/A,N/A,N/A,N/A,N/A,AC Load Panel - 13.66; Fiber Distribution Panel - 11.84,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3631002/CHPH30587_SCU-469511_Redlines-Node.pdf,,,,
469575,"Chicago, IL",COMED,39,Wood,34.58,N/A,24.16; 19.5; 18.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AC Load Panel - 13.66; Fiber Distribution Panel - 11.84,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3630787/CH1509BA_91LAB_Elevation_As_Built-Node.pdf,,,,
469865,"Chicago, IL",COMED,39,Wood,38.42,25.92,25.92; 20.25,N/A,N/A,23.25; 21.75,N/A,N/A,N/A,N/A,N/A,ac Load Panel - 17.66; Fiber Distribution Panel - 15.16,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3631045/CHPH30788_469865_NAT_Redlined_As-Built.pdf,,,,
469866,"Chicago, IL",COMED,38.57,Wood,43.25,30.5,22.57; 21.57; 20.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ac Load Panel - 16.42; Fiber Distribution Panel - 19,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3631023/CH2262BA_21LAB_Elevation_As_Built.pdf,,,,
470217,"Chicago, IL",COMED,33.42,Wood,33.5,26.5,21.33,26.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ac Load Panel - 13; Fiber Distribution Panel - 11.33,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3600000-3699999/3632470/CHPH32493_SCU-470217_NAT_Reviewed_Redline-Node.pdf,,,,
403382,"Chicago, IL",COMED,38.08,Wood,37.17,24.08,17.92 ; 16.5 ,N/A,N/A,21.08,N/A,N/A,N/A,N/A,N/A,14.17 - 15.67,Other - Terminal Box,Tyler,35,https://www.ccisites.com/uploads/non_otg_docs/work_task/3900000-3999999/3911549/CH90XSQ40_403382_REDLINE-NODE.pdf,,,,
