scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
470698,CHICAGO CITY,CH2283BA_71LAB_Elevation_As_Built.pdf,XXXX,"41' 59' 52.12"" N (41.997811)","87º 40' 52.37"" W (-87.681214)",2023 W. DEVON AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104b218f8892d9346eb45d3
470706,CHICAGO CITY,CHPH33505_SCU-470706_Redlines-Node.pdf,XXXX,"41' 46' 48.37"" N (41.780103)","87 37' 18.74"" W (-87.621872)",102 E. 63RD ST.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104d748f8892d9346eb47a5
470715,CHICAGO CITY,CHPH33516_SCU-470715_Redlines-Node.pdf,XXXX,"41' 55' 17.96"" N (41.921656)","87º 38' 37.32"" W (-87.643700)",2145 N. LARRABEE ST.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b1ebf8892d9346eb45d1
470723,XXXX,CHPH33525_SCU-470723_Redline-Node.pdf,XXXX,9999,9999,XXXX,XXXX,33.79,,33.5,,24.42,,10.33,,12.22,,,,12.19,,40.25,,6104d913f8892d9346eb47bb
470724,CHICAGO CITY,CHPH33526_470724_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 52' 51.03"" N (41.880841)","87 42' 37.72"" W ( 87.740477)|-87.710481",3351 W. MADISON ST.,XXXX,34.5,,,,,,23.5,,,,,,30.08,,,,6104d4a8f8892d9346eb4787
470733,CHICAGO,CHPH33604_SCU-470733_Redlines-Node.pdf,COMED,41.987689,-87.695076,5829 N TALMAN AVE,XXXX,34.04,,34.46,,,,10.42,,12.35,,,,12.27,,40.5,,6104cf64f8892d9346eb4742
470737,CHICAGO CITY,CHPH33616_SCU-470737_Redline-Node.pdf,XXXX,"41' 58' 59.63"" N (41.983230)","87' 41' 23.96"" W (-87.689990)",2410 W. BRYN MAWR AVE.,XXXX,34.5,,,,,,,,,,,,29.0,,,,6104b395f8892d9346eb45e6
470744,CHICAGO,CHPH33627_SCU-470744_Redline-Node.pdf,COMED,9999,9999,XXXX,XXXX,37.75,,37.17,,,,12.5,,10.31,,,,27.19,,,,6104d426f8892d9346eb4781
470746,CHICAGO,CH2263BA_51LAB_Elevation_As_Built.pdf,COMED,"41' 55' 23.03"" (41.923063)","-87 41' 01.98"" (-87.683883)",2227 W BELDEN AVE,XXXX,37.71,,37.08,,23.17,,10.0,,10.22,,,,20.85,,44.33,,6104b838f8892d9346eb4626
470747,CHICAGO,CHPH33631_SCU-470747_Redline-Node.pdf,COMED,"41' 57' 14.67"" (41.954075)","-87 45' 10.43"" (-87.752898)",4019 N LAWLER AVE,XXXX,33.54,,,,26.33,,10.5,,12.39,,,,12.35,,39.67,,6104bdb1f8892d9346eb4669
